X,Y
44,47
64,67
67,9
83,21
36,87
70,88
88,12
58,65
39,87
46,88
81,37
25,77
72,9
20,80
69,79
47,64
82,99
88,49
29,19
19,14
39,32
65,9
57,32
31,74
23,35
75,55
28,34
0,0
36,53
5,38
17,79
4,42
58,31
1,65
41,57
35,11
46,82
91,0
14,99
53,12
42,84
75,68
6,68
47,3
76,52
78,15
20,99
58,23
79,13
85,48
49,69
41,35
64,95
69,94
0,50
36,34
48,93
3,98
42,77
21,73
0,10
43,58
23,59
2,98
62,35
94,67
82,46
99,20
81,50
27,14
41,58
65,36
10,86
43,11
2,51
80,32
54,0
38,19
46,42
56,60
77,30
24,2
3,94
98,13
40,72
19,95
72,26
66,52
67,61
14,96
4,67
11,86
77,75
56,16
24,29
21,25
80,60
61,83
33,32
70,85
31,13
71,56
24,79
41,18
40,54
79,11
38,93
1,95
44,88
24,67
82,3
76,35
86,61
69,87
43,32
11,84
10,54
37,28
2,27
83,89
23,53
51,46
20,53
29,67
35,39
9,73
41,23
3,46
90,50
3,31
9,10
27,45
71,39
61,85
97,44
34,34
88,33
5,36
0,75
34,69
53,80
62,8
61,1
81,35
91,40
36,48
25,67
35,30
29,33
18,17
93,84
2,69
12,44
66,91
85,39
39,75
22,30
17,70
71,18
92,43
83,49
41,93
46,21
73,89
96,91
73,28
81,58
0,86
63,16
36,94
24,63
67,51
8,56
91,93
87,32
19,72
71,87
13,58
81,55
64,75
92,36
25,32
42,14
86,28
20,82
68,22
99,83
7,72
61,13
5,0
8,79
79,53
11,4
39,92
45,26
74,52
49,91
51,99
18,34
51,30
